"";"year";"country";"gini";"e0"
"532";1998;"SVN";NA;79.0595405533896
"533";1999;"SVN";NA;79.278723334178
"534";2000;"SVN";22;79.7475919441682
"535";2001;"SVN";22;80.2708209963441
"536";2002;"SVN";22;80.4746450279537
"537";2003;"SVN";NA;80.3277301104254
"538";2004;"SVN";NA;80.7711623781773
"539";2005;"SVN";23.8;80.8676676525692
"540";2006;"SVN";23.7;81.7783511899652
"541";2007;"SVN";23.2;81.8080130372608
"542";2008;"SVN";23.4;82.2443972570662
"543";2009;"SVN";22.7;82.3134824234354
"544";2010;"SVN";23.8;82.6499217369772
"545";2011;"SVN";23.8;82.8960527453932
"546";2012;"SVN";23.7;82.9073734995591
"547";2013;"SVN";24.4;83.1863690252723
"548";2014;"SVN";25;83.6862968886935
"549";2015;"SVN";24.5;83.5207361747646
"550";2016;"SVN";24.4;83.8764062526674
"551";2017;"SVN";23.7;83.6894497028874
"552";2018;"SVN";23.4;NA
"553";1995;"SWE";NA;81.4505093373742
"554";1996;"SWE";NA;81.5157874097932
"555";1997;"SWE";21;81.7958547677583
"556";1998;"SWE";NA;81.9183359606883
"557";1999;"SWE";22;81.8911965105344
"558";2000;"SWE";NA;82.0141193871951
"559";2001;"SWE";24;82.0594908526004
"560";2002;"SWE";23;82.0869645914669
"561";2003;"SWE";NA;82.4123599227753
"562";2004;"SWE";23;82.6635093485091
"563";2005;"SWE";23.4;82.7552854102875
"564";2006;"SWE";24;82.8987464209622
"565";2007;"SWE";23.4;82.945765147037
"566";2008;"SWE";25.1;83.1187311027639
"567";2009;"SWE";26.3;83.3314187527878
"568";2010;"SWE";25.5;83.4836770685034
"569";2011;"SWE";26;83.6692150705201
"570";2012;"SWE";26;83.5369338374663
"571";2013;"SWE";26;83.7106831830799
"572";2014;"SWE";26.9;84.0539158264925
"573";2015;"SWE";26.7;84.0236852949521
"574";2016;"SWE";27.6;84.0882676229572
"575";2017;"SWE";28;84.1141406115121
"576";2018;"SWE";27;84.2580714168936
